"","Caco-2 cells of no treatment group-1","Caco-2 cells of no treatment group-2","Caco-2 cells of no treatment group-3","Caco-2 cells of B. subtilis CW14 treatment group-1","Caco-2 cells of B. subtilis CW14 treatment group-2","Caco-2 cells of B. subtilis CW14 treatment group-3"
"100287102",1,1,2,1,2,3
"653635",520,619,600,424,605,626
"102466751",13,13,16,10,19,24
"107985730",0,0,0,0,0,0
"100302278",0,0,0,0,0,0
"645520",0,0,1,0,3,2
"79501",0,0,0,0,0,0
"100996442",13,22,13,17,20,19
"729737",32,35,48,32,28,42
"102725121",0,2,1,4,3,10
"102723897",594,767,925,624,875,802
"102465909",7,8,8,4,8,9
"107985721",6,5,2,4,2,1
"112268260",7,6,10,4,6,6
"729759",0,0,0,0,0,1
"100132287",109,121,137,93,95,134
"105378947",0,0,0,0,0,0
"101928626",0,0,0,0,0,0
"113219467",3356,3432,4516,2872,4760,3225
"81399",0,1,2,3,2,2
"100133331",149,141,146,100,104,172
"107984841",22,22,21,21,18,37
"107984847",19,19,26,33,29,41
"107984849",2,1,2,4,4,9
"100288069",25,29,30,21,36,39
"105378580",8,10,12,6,24,11
"400728",2,5,8,1,1,3
"79854",36,40,37,39,67,66
"643837",140,116,147,91,128,135
"107984850",0,0,1,1,0,1
"284593",0,1,2,2,0,1
"284600",6,10,7,6,2,15
"100130417",3,1,1,1,0,4
"107985728",0,0,0,1,0,0
"148398",113,96,109,75,125,101
"26155",1135,1176,1393,1074,1099,1272
"339451",235,291,263,256,317,382
"84069",265,241,308,273,265,369
"84808",57,68,68,58,60,77
"57801",1264,1570,1706,1370,1580,1438
"9636",395,531,625,492,679,557
"375790",5098,5607,6413,5233,6792,6481
"100288175",117,115,130,121,160,161
"112267874",66,54,60,73,86,97
"105378948",105,88,105,112,150,127
"401934",116,130,124,155,188,194
"54991",248,259,277,214,256,318
"254099",2,0,1,1,1,2
"406984",6,4,0,10,8,8
"406983",4,2,8,5,13,11
"554210",2,6,4,8,22,10
"100506376",7,8,7,3,7,19
"254173",15,5,9,11,13,39
"8784",3,0,0,4,0,9
"7293",0,2,2,1,3,9
"51150",3400,3361,3869,2792,3088,3333
"126792",344,390,416,304,256,347
"388581",42,55,65,64,119,69
"118424",581,654,858,469,575,615
"101928895",2,3,15,11,8,17
"6339",55,39,30,60,34,44
"116983",708,840,922,768,800,1026
"102465434",1,0,0,0,0,0
"109623456",1,2,1,2,1,4
"126789",268,296,330,226,223,278
"54973",1036,1139,1184,950,1021,1107
"102465435",1,2,4,1,2,2
"80772",242,319,312,238,198,222
"83756",17,26,15,15,10,19
"1855",809,952,1028,749,963,906
"102466740",2,2,3,2,4,3
"54587",110,121,127,164,154,180
"54998",1249,1470,1713,1094,1153,1276
"81669",2650,3268,3454,2814,2853,3355
"148413",210,232,263,177,144,167
"55052",641,601,760,497,477,548
"107984868",0,3,0,5,1,3
"441869",8,14,20,5,10,25
"105378585",0,2,2,1,0,4
"643965",0,4,3,2,3,3
"102724312",20,16,22,16,14,38
"107985729",7,6,10,13,9,22
"64856",954,1004,1139,842,744,1119
"219293",23,36,35,25,33,36
"83858",458,749,903,437,478,584
"55210",447,702,728,434,446,596
"339453",2,5,4,4,6,7
"29101",1391,1282,1436,1132,999,1207
"643988",120,117,96,86,69,113
"105378586",13,9,8,14,11,17
"142678",546,729,691,570,615,777
"8510",12,12,20,11,18,19
"984",1149,1473,1604,958,1176,1338
"728661",451,480,505,492,580,677
"8511",4,3,3,8,1,8
"728642",1056,1345,1515,899,1248,1264
"9906",610,703,744,678,727,950
"112268218",80,105,115,86,68,116
"65220",717,806,942,661,715,922
"2782",5634,5486,6163,4912,5363,6268
"105378949",27,27,33,13,12,19
"163688",7,13,11,14,19,24
"339456",139,162,108,134,134,151
"85452",9,12,10,12,18,17
"107984872",2,0,1,1,2,4
"105378589",1,3,1,0,3,2
"2563",0,1,4,1,1,1
"105378590",33,22,24,31,19,32
"105378591",9,7,3,3,3,6
"5590",1031,980,1122,878,912,1160
"100506504",68,73,87,69,74,127
"199990",559,582,691,447,529,639
"112268219",28,55,67,37,39,59
"105378593",1,0,0,3,0,5
"6497",937,860,1118,789,774,947
"79906",70,62,66,61,47,98
"100129534",35,18,13,16,28,29
"11079",1309,1386,1608,1218,1138,1400
"5192",331,347,395,317,302,395
"9651",33,33,51,38,27,46
"55229",387,430,516,315,371,374
"388585",0,0,0,0,0,0
"115110",18,12,11,20,18,21
